id_doc,nombre_documento,ano_creacion,mes_creacion,diseno_edicion,impresor,tipologia,formato_publicacion,encuadernacion_publicacion,digital,archivo_txt,ruta_txt,dim_cerrado_ancho,dim_cerrado_largo,num_modulos,area_cerrado,paleta_rgb,id_img_fk,Escanear,Notas
221,Rembrandt : 69 grabados 1630-1659,2015,Noviembre,Cactus,,"Catalogo, Programa de mano",Librillo,Encolado,1,,,24.5,16.5,104,404.25,,,,el librillo cuenta con un plegable inserto.
222,Planchas sobre la mesa,2015,Septiembre,Cactus,,Programa de mano,Librillo,Caballete,1,,,15.5,17,12,263.5,,,,
223,Future Perfect,2016,Agosto,Cactus,,Programa de mano,Librillo,Caballete,1,,,17,24,12,408,,,,
224,Marimba Expandida,2016,Febrero,Burricornio Taller editorial,,Programa de mano,Librillo,Caballete,1,,,16.5,21.5,12,354.75,,,,
225,Fototropismos,2014,Julio,Cactus,,Invitación,Postal,,1,,,15.6,10.8,1,168.48,,,,Tiene un empaque con troquel
226,La Forma del Futuro,2016,Octubre,Cactus,VMG producción y logística,Programa de mano,Plegable,,1,,,14,21.6,8,302.4,,,,
227,Normativo,2011,Agosto,Cactus,,Programa de mano,Plegable,,1,,,15,21,3,315,,,,
228,Normativo,2011,Agosto,Cactus,,Invitación,Volante,,1,,,14,20.6,2,288.4,,,,
229,"Eros, Dolor y Muerte",2009,Noviembre,Cactus,,Programa de mano,Plegable,,1,,,13.8,20,8,276,,,,
230,Cadenas Alimenticias,1999,Noviembre,La Silueta,,Programa de mano,Librillo,Caballete,0,,,16.5,23.5,22,387.75,,,si,
231,Esayos Para un Mundo Perfecto,2011,Agosto,C. Umaña,,"Catalogo, Programa de mano",Plegable,,0,,,22,28,4,616,,,si,Pertenece a una serie de fasículos coleccionables que se argollan juntos. La pestaña de la portada es 4 cm mas corta 
232,Hacia un lugar común,2016,Junio,Cactus,,Programa de mano,Plegable,,1,,,21,28,4,588,,,,Tiene un inserto que es una hoja plegada azul con dos textos de Erika Flores y de Alejandro Martín
233,Tratado sobre la insurrección de la pintura o el tercer lado del espejo,2016,Abril,Cactus,,Programa de mano,Carpeta,,1,,,23,29,29,667,,,,Carpeta con 23 hojas que se recogían en la sala
234,Siete intelectuales en el bosque de bambú,2011,Marzo,Cactus,,Programa de mano,Plegable,,1,,,21,15,6,315,,,,
235,Allora & Calzadilla,2011,Enero,Cactus,,Programa de mano,Plegable,,1,,,21,15,6,315,,,,
236,Museo La Tertulia 54 años de historia,2010,Junio,Cactus,,Programa de mano,Carpeta,,1,,,19,19,30,361,,,,Es una carpeta que coniene un librito
237,Museo La Tertulia 54 años de historia,2010,Junio,Cactus,,"Programa de mano, Invitación",Plegable,,1,,,18,9.5,8,171,,,,
238,Paciente,2016,Abril,Cactus,,Programa de mano,Plegable,,1,,,16.8,26.8,6,450.24,,,,
239,Rompecabezas,2015,Julio,Cactus,,Programa de mano,Plegable,,1,,,17.2,24,8,412.8,,,,
240,Dash Shaw + Luis Echavarría: El Fantasma que no se ve,2015,Octubre,Cactus,,Invitación,Postal,,1,,,15.8,18,2,284.4,,,,
241,Dash Shaw + Luis Echavarría: El Fantasma que no se ve,2015,Octubre,Power Paola,,Programa de mano,Plegable,,1,,,17,12.3,8,209.1,,,,
242,¿Qué Cosa es la Verdad?,2012,Junio,Cactus,,Programa de mano,Plegable,,1,,,10.8,14,8,151.2,,,,
243,Avi Mograbi Los Detalles,2015,Noviembre,Cactus,,Programa de mano,Plegable,,1,,,16.7,23.8,6,397.46,,,,
