id_expo,expo_order,nombre_expo,fecha_ini,fecha_fin,duracion_dias,nombre_espacio,descripcion_expo,tipo_participacion,nombre_expo_order_ano,ano,a1,a2,rol_a1,rol_a2
111,111,Exposición de artesanía,1966-12-06,1900-01-01,NA,Casona San Antonio,NA,colectiva,111-Exposición de artesanía-1966,1966,NA,NA,NA,NA
112,112,Aurora Brown,1966-12-19,1900-01-01,NA,Casona San Antonio,NA,individual,112-Aurora Brown-1966,1966,NA,NA,NA,NA
113,113,Maria Thereza Negreiros,1967-01-20,1967-02-02,13,Casona San Antonio,NA,individual,113-Maria Thereza Negreiros-1967,1967,NA,NA,NA,NA
114,114,Lucy Tejada,1967-02-25,1900-01-01,NA,Casona San Antonio,NA,individual,114-Lucy Tejada-1967,1967,NA,NA,NA,NA
115,115,Nereo López,1967-04-07,1900-01-01,NA,Casona San Antonio,NA,individual,115-Nereo López-1967,1967,NA,NA,NA,NA
116,116,Alejandro Obregón,1967-07-22,1900-01-01,NA,Casona San Antonio,NA,individual,116-Alejandro Obregón-1967,1967,NA,NA,NA,NA
117,117,Luis Caballero,1967-09-29,1900-01-01,NA,Casona San Antonio,NA,individual,117-Luis Caballero-1967,1967,NA,NA,NA,NA
118,118,Jan Bartelsman,1967-10-20,1900-01-01,NA,Casona San Antonio,NA,individual,118-Jan Bartelsman-1967,1967,NA,NA,NA,NA
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Alejandro Martín Maldonado,Adrián Gaitán,curador,artista
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Alejandro Martín Maldonado,Alberto Lezaca,curador,artista
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Alejandro Martín Maldonado,Alicia Barney,curador,artista
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Alejandro Martín Maldonado,Carlos Cruz-Diez,curador,artista
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Alejandro Martín Maldonado,Édgar Negret,curador,artista
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Alejandro Martín Maldonado,Eduardo Ramírez Villamizar,curador,artista
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Alejandro Martín Maldonado,Elías Heim,curador,artista
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Alejandro Martín Maldonado,Ernest Trova,curador,artista
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Alejandro Martín Maldonado,León Ferrari,curador,artista
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Alejandro Martín Maldonado,Luis Fernando Peláez,curador,artista
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Alejandro Martín Maldonado,Robert Nelson,curador,artista
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Alejandro Martín Maldonado,Santiago Caicedo,curador,artista
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Ángela Osorio,Adrián Gaitán,curador,artista
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Ángela Osorio,Alberto Lezaca,curador,artista
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Ángela Osorio,Alicia Barney,curador,artista
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Ángela Osorio,Carlos Cruz-Diez,curador,artista
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Ángela Osorio,Édgar Negret,curador,artista
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Ángela Osorio,Eduardo Ramírez Villamizar,curador,artista
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Ángela Osorio,Elías Heim,curador,artista
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Ángela Osorio,Ernest Trova,curador,artista
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Ángela Osorio,León Ferrari,curador,artista
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Ángela Osorio,Luis Fernando Peláez,curador,artista
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Ángela Osorio,Robert Nelson,curador,artista
825,119,Alberto Cogno,1967-10-24,1900-01-01,NA,NA,NA,individual,119-Alberto Cogno-1967,1967,Ángela Osorio,Santiago Caicedo,curador,artista
125,120,Irma Constanzo,1967-11-07,NA,NA,NA,NA,individual,120-Irma Constanzo-1967,1967,NA,NA,NA,NA
119,121,Manzur,1967-11-17,1900-01-01,NA,Casona San Antonio,NA,individual,121-Manzur-1967,1967,NA,NA,NA,NA
120,122,Exposición de artesanía,1967-12-01,1900-01-01,NA,Casona San Antonio,NA,colectiva,122-Exposición de artesanía-1967,1967,NA,NA,NA,NA
121,123,Isabel Cuervo Casabianca,1967-12-01,1967-12-10,9,Casona San Antonio,NA,individual,123-Isabel Cuervo Casabianca-1967,1967,NA,NA,NA,NA
122,124,Mario Gordillo,1968-02-02,1900-01-01,NA,Casona San Antonio,NA,individual,124-Mario Gordillo-1968,1968,NA,NA,NA,NA
123,125,Exposición de alumnas de la Academia Martenot,1968-03-15,1900-01-01,NA,Sala única,NA,colectiva,125-Exposición de alumnas de la Academia Martenot-1968,1968,NA,NA,NA,NA
124,126,VIII Festival Nacional de Arte - I Salón Austral y Colombiano de Pintura,1968-06-01,1900-01-01,NA,Sala única,NA,colectiva,126-VIII Festival Nacional de Arte - I Salón Austral y Colombiano de Pintura-1968,1968,NA,NA,NA,NA
126,127,Santiago Cárdenas,1968-09-27,1900-01-01,NA,Sala única,NA,individual,127-Santiago Cárdenas-1968,1968,NA,NA,NA,NA
127,128,León Ricaurte,1968-10-22,1900-01-01,NA,Sala única,NA,individual,128-León Ricaurte-1968,1968,NA,NA,NA,NA
