a1,a2,veces,relacion
Bernardo Ortiz,Bernardo Salcedo,1,curador-artista
Bernardo Ortiz,François Bucher,1,curador-artista
Bernardo Ortiz,José Leonilson,1,curador-artista
Bernardo Ortiz,Juan Fernando Herrán,1,curador-artista
Bernardo Ortiz,Judi Werthein,1,curador-artista
Bernardo Ortiz,Kara Walker,1,curador-artista
Bernardo Ortiz,León Ferrari,1,curador-artista
Bernardo Ortiz,Leonardo Herrera,1,curador-artista
Bernardo Ortiz,Lotty Rosenfeld,1,curador-artista
Bernardo Ortiz,Luis Camnitzer,1,curador-artista
Bernardo Ortiz,Luis Molina-Pantin,1,curador-artista
Bernardo Ortiz,Mguel Ángel Rojas,1,curador-artista
Bernardo Ortiz,Pedro Alcántara Herrán,1,curador-artista
Bernardo Ortiz,Tino Sehgal,1,curador-artista
Breyner Huertas,Breyner Huertas,1,curador-artista
Breyner Huertas,Carlos Duque,1,curador-artista
Breyner Huertas,Carlos Tamayo,1,curador-artista
Breyner Huertas,Dayhana Muñoz,1,curador-artista
Breyner Huertas,Hermann Yusty,1,curador-artista
Breyner Huertas,Irene Fuga,1,curador-artista
Breyner Huertas,Jim Stoten,1,curador-artista
Breyner Huertas,Jorge Acero,1,curador-artista
Breyner Huertas,Nadia Granados,1,curador-artista
Breyner Huertas,Samuel Bohórquez,1,curador-artista
Breyner Huertas,Wilson Díaz,1,curador-artista
Camilo Ordóñez Robayo,Carlos Granada,1,curador-artista
Camilo Ordóñez Robayo,Diego Arango,1,curador-artista
Camilo Ordóñez Robayo,Fabio Rodriguez Amaya,1,curador-artista
Camilo Ordóñez Robayo,Jorge Mora,1,curador-artista
Camilo Ordóñez Robayo,Nirma Zárate,1,curador-artista
Camilo Ordóñez Robayo,Umberto Giangrandi,1,curador-artista
Carlos Arturo Fernández,Ana Claudia Múnera,1,curador-artista
Carlos Arturo Fernández,Ana María Rueda,1,curador-artista
Carlos Arturo Fernández,Beltrán Obregón,1,curador-artista
Carlos Arturo Fernández,Carlos Blanco,1,curador-artista
Carlos Arturo Fernández,Carlos Salas Silva,1,curador-artista
Carlos Arturo Fernández,Cristina Llano,1,curador-artista
Carlos Arturo Fernández,Delcy Morelos,1,curador-artista
Carlos Arturo Fernández,Esteban Villa,1,curador-artista
Carlos Arturo Fernández,Fernando Uhía,1,curador-artista
Carlos Arturo Fernández,Gabriel Silva Rubio,1,curador-artista
Carlos Arturo Fernández,Germán Londoño,1,curador-artista
Carlos Arturo Fernández,Jaime Franco,1,curador-artista
Carlos Arturo Fernández,Jaime Iregui,1,curador-artista
Carlos Arturo Fernández,Johanna Calle,1,curador-artista
Carlos Arturo Fernández,Jorge Julián Aristizábal,1,curador-artista
Carlos Arturo Fernández,José Horacio Martínez,1,curador-artista
Carlos Arturo Fernández,Luis Fernando Roldán,1,curador-artista
Carlos Arturo Fernández,Luz Ángela Lizarazo,1,curador-artista
Carlos Arturo Fernández,María Teresa Cano,1,curador-artista
Carlos Arturo Fernández,Nadín Ospina,1,curador-artista
Carlos Arturo Fernández,Olga Lucia Garcia,1,curador-artista
Carlos Arturo Fernández,Patricia Bravo,1,curador-artista
Carlos Arturo Fernández,Rafael Ortiz,1,curador-artista
